id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,"Tôi không biết.

[2] support/sla-p1-2026.pdf | Phần 5: Lịch sử phiên bản [score=10.72]","Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",1,Answer 'Tôi không biết.' không cung cấp thông tin nào và hoàn toàn thiếu sự liên kết với bất kỳ thông tin nào trong Context.,1,Câu trả lời hoàn toàn không liên quan đến câu hỏi.,5,Retrieved: 1/1 expected sources,,"Lỗi chấm điểm: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1776124800000'}, 'provider_name': None}}, 'user_id': 'user_3CIQ1tgZ9y4YI8rxCFTyVC2RCJF'}",sparse
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?","Theo thông tin trong context [1], không có giới hạn cụ thể về số lượng thiết bị mà một tài khoản VPN có thể kết nối đồng thời. Tuy nhiên, chỉ rõ rằng mỗi tài khoản được giới hạn kết nối VPN trên tối đa 2 thiết bị cùng lúc [Q: VPN có giới hạn số thiết bị không?].","Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",5,Tất cả thông tin trong Answer đều có bằng chứng rõ ràng trong Context.,3,"Câu trả lời có thông tin liên quan về số lượng thiết bị, nhưng lại không rõ ràng và có phần thừa thãi khi đề cập đến việc không có giới hạn cụ thể.",5,Retrieved: 2/2 expected sources,,"Lỗi chấm điểm: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1776124800000'}, 'provider_name': None}}, 'user_id': 'user_3CIQ1tgZ9y4YI8rxCFTyVC2RCJF'}",sparse
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,"Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm không được hoàn tiền. Cụ thể, điều kiện ngoại lệ đề cập rằng ""Sản phẩm đã được kích hoạt hoặc đăng ký tài khoản"" không được hoàn tiền [1].",Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,Tất cả thông tin trong Answer đều có bằng chứng rõ ràng trong Context.,5,"Trả lời trực tiếp, chính xác và đầy đủ trọng tâm câu hỏi.",5,Retrieved: 1/1 expected sources,,"Lỗi chấm điểm: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1776124800000'}, 'provider_name': None}}, 'user_id': 'user_3CIQ1tgZ9y4YI8rxCFTyVC2RCJF'}",sparse
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","Nếu bạn chọn nhận store credit thay vì hoàn tiền, bạn sẽ được hưởng giá trị 110% so với số tiền gốc [1].","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",5,Tất cả thông tin trong Answer đều có bằng chứng rõ ràng trong Context.,5,"Câu trả lời trực tiếp và đầy đủ, cung cấp thông tin chính xác về giá trị store credit so với số tiền gốc.",5,Retrieved: 1/1 expected sources,,"Lỗi chấm điểm: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1776124800000'}, 'provider_name': None}}, 'user_id': 'user_3CIQ1tgZ9y4YI8rxCFTyVC2RCJF'}",sparse
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?",Số ngày và yêu cầu đặc biệt khi cấp quyền Admin Access từ bên ngoài công ty không được mô tả trong context cung cấp. Tôi không biết và không nên làm up ý thông tin mới. [1],"Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",1,Answer bịa đặt thông tin hoặc mâu thuẫn trực tiếp với Context.,1,"Câu trả lời hoàn toàn không liên quan đến câu hỏi, không cung cấp thông tin về khả năng cấp quyền Admin Access cho contractor từ bên ngoài công ty.",5,Retrieved: 1/1 expected sources,,"Lỗi chấm điểm: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1776124800000'}, 'provider_name': None}}, 'user_id': 'user_3CIQ1tgZ9y4YI8rxCFTyVC2RCJF'}",sparse
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","Quy trình cấp quyền tạm thời khi cần xử lý sự cố P1:
1. On-call IT Admin cấp quyền.
2. Cấp quyền có hiệu lực tối đa 24 giờ.
3. Cần được Tech Lead phê duyệt bằng lời [1].","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",5,Tất cả thông tin trong Answer đều có bằng chứng rõ ràng trong Context về quy trình cấp quyền tạm thời cho sự cố P1.,5,"Trả lời trực tiếp, đầy đủ và chính xác quy trình cấp quyền tạm thời cùng thời gian hiệu lực.",5,Retrieved: 2/2 expected sources,,"Lỗi chấm điểm: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1776124800000'}, 'provider_name': None}}, 'user_id': 'user_3CIQ1tgZ9y4YI8rxCFTyVC2RCJF'}",sparse
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,Tôi không biết và không tạo ra thông tin phony. [1],"Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",1,Answer hoàn toàn không liên quan đến các thông tin trong Context và chứa thông tin không chính xác.,1,Câu trả lời hoàn toàn không liên quan đến câu hỏi về mức phạt nếu team IT vi phạm cam kết SLA P1.,,No expected sources,,"Lỗi chấm điểm: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1776124800000'}, 'provider_name': None}}, 'user_id': 'user_3CIQ1tgZ9y4YI8rxCFTyVC2RCJF'}",sparse
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"The policy requires employees to inform their Line Manager at least 3 days before requesting annual leave [2]. For sick leave, documentation from a healthcare provider is required if the leave exceeds连续三天 [1] (Section 1.2). Hence, the number of days required for notification does not match that for medical documentation.",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,2,"Thông tin về yêu cầu thông báo cho Line Manager trước 3 ngày nghỉ phép là chính xác, nhưng phần liên quan đến giấy tờ y tế cho nghỉ ốm không hoàn toàn chính xác và có thông tin chưa được tìm thấy trong ngữ cảnh.",5,Trả lời trực tiếp và đầy đủ về thời gian thông báo khi xin nghỉ phép năm và so sánh với yêu cầu giấy tờ khi nghỉ ốm.,5,Retrieved: 1/1 expected sources,,"Lỗi chấm điểm: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1776124800000'}, 'provider_name': None}}, 'user_id': 'user_3CIQ1tgZ9y4YI8rxCFTyVC2RCJF'}",sparse
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?",Mật khẩu tài khoản công ty cần đổi định kỳ [1]. Hệ thống sẽ nhắc nhở người dùng thay đổi mật khẩu 7 ngày trước khi hết hạn [1].,"Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",5,Tất cả thông tin trong Answer đều có bằng chứng rõ ràng trong Context.,5,"Trả lời trực tiếp, đầy đủ và chính xác trọng tâm câu hỏi.",5,Retrieved: 1/1 expected sources,,"Lỗi chấm điểm: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1776124800000'}, 'provider_name': None}}, 'user_id': 'user_3CIQ1tgZ9y4YI8rxCFTyVC2RCJF'}",sparse
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,Có [1].,Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,2,"Nhiều thông tin trong Answer không tìm thấy trong Context, khả năng hoàn tiền không thể xác nhận được đầy đủ từ ngữ cảnh cung cấp.",1,Câu trả lời không liên quan đến câu hỏi về chính sách hoàn tiền cho đơn hàng đặt trước một ngày cụ thể.,5,Retrieved: 1/1 expected sources,,"Lỗi chấm điểm: Error code: 429 - {'error': {'message': 'Rate limit exceeded: free-models-per-day. Add 10 credits to unlock 1000 free model requests per day', 'code': 429, 'metadata': {'headers': {'X-RateLimit-Limit': '50', 'X-RateLimit-Remaining': '0', 'X-RateLimit-Reset': '1776124800000'}, 'provider_name': None}}, 'user_id': 'user_3CIQ1tgZ9y4YI8rxCFTyVC2RCJF'}",sparse
